,Location,Density,Density,Population,Land area,Land area,Ref.
,Location,/km2,/mi2,Population,km2,mi2,Ref.
0,World,55.0,140.0,8231613070,148940000.0,57510000.0,[b]
1,Macau (China),22000.0,57000.0,720262,33.0,13.0,
2,Monaco,19000.0,49000.0,38631,2.0,0.77,
3,Singapore,8120.0,21000.0,5832387,718.0,277.0,
4,Hong Kong (China),7062.0,18290.0,7414910,1050.0,410.0,
5,Gibraltar (UK),5800.0,15000.0,39329,6.8,2.6,[c]
6,Bahrain,2034.0,5270.0,1607049,790.0,310.0,
7,Vatican City,1800.0,4700.0,882,0.5,0.19,[d]
8,Maldives,1759.0,4560.0,527799,300.0,120.0,
9,Malta,1686.0,4370.0,539607,320.0,120.0,
10,Bangladesh,1333.0,3450.0,173562364,130170.0,50260.0,
11,Sint Maarten (NL),1275.0,3300.0,43351,34.0,13.0,
12,Bermuda (UK),1197.0,3100.0,64637,54.0,21.0,
13,Palestine,892.0,2310.0,5371230,6020.0,2320.0,[e]
14,Jersey (UK),891.0,2310.0,103387,116.0,45.0,[10]
15,Guernsey (UK),867.0,2250.0,67642,78.0,30.0,[f]
16,Barbados,657.0,1700.0,282468,430.0,170.0,
17,Taiwan,656.0,1700.0,23213962,35410.0,13670.0,
18,Mauritius,637.0,1650.0,1271169,1997.0,771.0,
19,Aruba (NL),600.0,1600.0,108066,180.0,69.0,
20,Nauru,597.0,1550.0,11947,20.0,7.7,
21,Rwanda,578.0,1500.0,14256567,24670.0,9530.0,
22,Lebanon,568.0,1470.0,5805962,10230.0,3950.0,
23,Saint Barthélemy (France),563.0,1460.0,11258,20.0,7.7,
24,San Marino,560.0,1500.0,33581,60.0,23.0,
25,Burundi,547.0,1420.0,14047786,25680.0,9920.0,
26,Netherlands,541.0,1400.0,18228742,33670.0,13000.0,
27,South Korea,530.0,1400.0,51717590,97600.0,37700.0,
28,Saint Martin (France),523.0,1350.0,26129,50.0,19.0,
29,India,488.0,1260.0,1450935791,2973190.0,1147960.0,
30,Comoros,466.0,1210.0,866628,1861.0,719.0,
31,Israel,434.0,1120.0,9387021,21640.0,8360.0,
32,Haiti,427.0,1110.0,11772557,27560.0,10640.0,
33,Curaçao (NL),418.0,1080.0,185482,444.0,171.0,
34,Philippines,389.0,1010.0,115843670,298170.0,115120.0,
35,Belgium,385.0,1000.0,11738764,30494.0,11774.0,
36,Sri Lanka,373.0,970.0,23103565,61860.0,23880.0,
37,Puerto Rico (US),366.0,950.0,3242204,8870.0,3420.0,
38,Grenada,345.0,890.0,117208,340.0,130.0,
39,Japan,340.0,880.0,123753041,364500.0,140700.0,
40,Pakistan,326.0,840.0,251269164,770880.0,297640.0,
41,Vietnam,322.0,830.0,100987687,313429.0,121016.0,
42,Tuvalu,322.0,830.0,9646,30.0,12.0,
43,Guam (US),311.0,810.0,167777,540.0,210.0,
