id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemustaka,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,109,PENGUNJUNG,2020
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,61,PENGUNJUNG,2020
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,PENGUNJUNG,2020
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,404,PENGUNJUNG,2020
5,32,JAWA BARAT,3205,KABUPATEN GARUT,50,PENGUNJUNG,2020
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,24,PENGUNJUNG,2020
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,49,PENGUNJUNG,2020
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30,PENGUNJUNG,2020
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,80,PENGUNJUNG,2020
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,PENGUNJUNG,2020
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50,PENGUNJUNG,2020
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,85,PENGUNJUNG,2020
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,PENGUNJUNG,2020
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,85,PENGUNJUNG,2020
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,21,PENGUNJUNG,2020
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,30,PENGUNJUNG,2020
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,PENGUNJUNG,2020
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,50,PENGUNJUNG,2020
19,32,JAWA BARAT,3271,KOTA BOGOR,30,PENGUNJUNG,2020
20,32,JAWA BARAT,3272,KOTA SUKABUMI,115,PENGUNJUNG,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,71,PENGUNJUNG,2020
22,32,JAWA BARAT,3274,KOTA CIREBON,200,PENGUNJUNG,2020
23,32,JAWA BARAT,3275,KOTA BEKASI,25,PENGUNJUNG,2020
